season,episode,speaker,Symptom,Test,Drug,Procedure,Intent,diagnosis_stage,Sarcasm,Emotion,Organ,correct_prediction,model_prediction,text,medical_entities,clean_text,label
1,1,House,yürüyememe,,,,açıklama,değerlendirme,0,nötr,beyin,nörosistiserkozis,,Bu bir tümör değil; çok hızlı kötüleşiyor ve artık ayağa kalkamıyor.,"[{""text"": ""tümör"", ""type"": ""Disease""}, {""text"": ""yürüyememe"", ""type"": ""Symptom""}]",bu bir tümör değil çok hızlı kötüleşiyor ve artık ayağa kalkamıyor,2354
1,1,House,ödem,,,,açıklama,hipotez,0,nötr,beyin,nörosistiserkozis,,"Parazit ölmeye başlayınca bağışıklık sistemi saldırır, her şey şişer ve bu beyin için çok kötüdür.","[{""text"": ""parazit"", ""type"": ""Disease""}, {""text"": ""ödem"", ""type"": ""Symptom""}, {""text"": ""beyin"", ""type"": ""Anatomy""}]",parazit ölmeye başlayınca bağışıklık sistemi saldırır her şey şişer ve bu beyin için çok kötüdür,2394
1,1,Chase,karın ağrısı,,albendazol,,açıklama,kesin_tanı,0,nötr,,nörosistiserkozis,,"Albendazol kullanacaksın; en az bir ay boyunca her gün yemekle alacaksın. Olası yan etkiler karın ağrısı, bulantı, baş ağrısı, baş dönmesi, ateş ve saç dökülmesi.","[{""text"": ""albendazol"", ""type"": ""Drug""}, {""text"": ""karın ağrısı"", ""type"": ""Symptom""}, {""text"": ""bulantı"", ""type"": ""Symptom""}, {""text"": ""baş ağrısı"", ""type"": ""Symptom""}, {""text"": ""baş dönmesi"", ""type"": ""Symptom""}, {""text"": ""ateş"", ""type"": ""Symptom""}, {""text"": ""saç dökülmesi"", ""type"": ""Symptom""}]",albendazol kullanacaksın en az bir ay boyunca her gün yemekle alacaksın olası yan etkiler karın ağrısı bulantı baş ağrısı baş dönmesi ateş ve saç dökülmesi,1264
1,1,Chase,bulantı,,albendazol,,açıklama,kesin_tanı,0,nötr,,nörosistiserkozis,,"Albendazol kullanacaksın; en az bir ay boyunca her gün yemekle alacaksın. Olası yan etkiler karın ağrısı, bulantı, baş ağrısı, baş dönmesi, ateş ve saç dökülmesi.","[{""text"": ""albendazol"", ""type"": ""Drug""}, {""text"": ""karın ağrısı"", ""type"": ""Symptom""}, {""text"": ""bulantı"", ""type"": ""Symptom""}, {""text"": ""baş ağrısı"", ""type"": ""Symptom""}, {""text"": ""baş dönmesi"", ""type"": ""Symptom""}, {""text"": ""ateş"", ""type"": ""Symptom""}, {""text"": ""saç dökülmesi"", ""type"": ""Symptom""}]",albendazol kullanacaksın en az bir ay boyunca her gün yemekle alacaksın olası yan etkiler karın ağrısı bulantı baş ağrısı baş dönmesi ateş ve saç dökülmesi,456
1,1,Chase,baş ağrısı,,albendazol,,açıklama,kesin_tanı,0,nötr,,nörosistiserkozis,,"Albendazol kullanacaksın; en az bir ay boyunca her gün yemekle alacaksın. Olası yan etkiler karın ağrısı, bulantı, baş ağrısı, baş dönmesi, ateş ve saç dökülmesi.","[{""text"": ""albendazol"", ""type"": ""Drug""}, {""text"": ""karın ağrısı"", ""type"": ""Symptom""}, {""text"": ""bulantı"", ""type"": ""Symptom""}, {""text"": ""baş ağrısı"", ""type"": ""Symptom""}, {""text"": ""baş dönmesi"", ""type"": ""Symptom""}, {""text"": ""ateş"", ""type"": ""Symptom""}, {""text"": ""saç dökülmesi"", ""type"": ""Symptom""}]",albendazol kullanacaksın en az bir ay boyunca her gün yemekle alacaksın olası yan etkiler karın ağrısı bulantı baş ağrısı baş dönmesi ateş ve saç dökülmesi,359
1,1,Chase,baş dönmesi,,albendazol,,açıklama,kesin_tanı,0,nötr,,nörosistiserkozis,,"Albendazol kullanacaksın; en az bir ay boyunca her gün yemekle alacaksın. Olası yan etkiler karın ağrısı, bulantı, baş ağrısı, baş dönmesi, ateş ve saç dökülmesi.","[{""text"": ""albendazol"", ""type"": ""Drug""}, {""text"": ""karın ağrısı"", ""type"": ""Symptom""}, {""text"": ""bulantı"", ""type"": ""Symptom""}, {""text"": ""baş ağrısı"", ""type"": ""Symptom""}, {""text"": ""baş dönmesi"", ""type"": ""Symptom""}, {""text"": ""ateş"", ""type"": ""Symptom""}, {""text"": ""saç dökülmesi"", ""type"": ""Symptom""}]",albendazol kullanacaksın en az bir ay boyunca her gün yemekle alacaksın olası yan etkiler karın ağrısı bulantı baş ağrısı baş dönmesi ateş ve saç dökülmesi,362
1,1,Chase,ateş,,albendazol,,açıklama,kesin_tanı,0,nötr,,nörosistiserkozis,,"Albendazol kullanacaksın; en az bir ay boyunca her gün yemekle alacaksın. Olası yan etkiler karın ağrısı, bulantı, baş ağrısı, baş dönmesi, ateş ve saç dökülmesi.","[{""text"": ""albendazol"", ""type"": ""Drug""}, {""text"": ""karın ağrısı"", ""type"": ""Symptom""}, {""text"": ""bulantı"", ""type"": ""Symptom""}, {""text"": ""baş ağrısı"", ""type"": ""Symptom""}, {""text"": ""baş dönmesi"", ""type"": ""Symptom""}, {""text"": ""ateş"", ""type"": ""Symptom""}, {""text"": ""saç dökülmesi"", ""type"": ""Symptom""}]",albendazol kullanacaksın en az bir ay boyunca her gün yemekle alacaksın olası yan etkiler karın ağrısı bulantı baş ağrısı baş dönmesi ateş ve saç dökülmesi,268
1,1,Chase,saç dökülmesi,,albendazol,,açıklama,kesin_tanı,0,nötr,,nörosistiserkozis,,"Albendazol kullanacaksın; en az bir ay boyunca her gün yemekle alacaksın. Olası yan etkiler karın ağrısı, bulantı, baş ağrısı, baş dönmesi, ateş ve saç dökülmesi.","[{""text"": ""albendazol"", ""type"": ""Drug""}, {""text"": ""karın ağrısı"", ""type"": ""Symptom""}, {""text"": ""bulantı"", ""type"": ""Symptom""}, {""text"": ""baş ağrısı"", ""type"": ""Symptom""}, {""text"": ""baş dönmesi"", ""type"": ""Symptom""}, {""text"": ""ateş"", ""type"": ""Symptom""}, {""text"": ""saç dökülmesi"", ""type"": ""Symptom""}]",albendazol kullanacaksın en az bir ay boyunca her gün yemekle alacaksın olası yan etkiler karın ağrısı bulantı baş ağrısı baş dönmesi ateş ve saç dökülmesi,1959
1,2,Cameron,diplopi,,,,açıklama,hipotez,0,nötr,beyin,subakut sklerozan panensefalit,,16 yaşındaki erkek hastada ani başlayan diplopi ve gece terörleri var.,"[{""text"":""diplopi"",""type"":""Symptom""},{""text"":""gece terörü"",""type"":""Symptom""}]",16 yaşındaki erkek hastada ani başlayan diplopi ve gece terörleri var,601
1,2,Cameron,gece terörü,,,,açıklama,hipotez,0,nötr,beyin,subakut sklerozan panensefalit,,16 yaşındaki erkek hastada ani başlayan diplopi ve gece terörleri var.,"[{""text"":""diplopi"",""type"":""Symptom""},{""text"":""gece terörü"",""type"":""Symptom""}]",16 yaşındaki erkek hastada ani başlayan diplopi ve gece terörleri var,795
1,2,House,gece terörü,,,,açıklama,hipotez,0,nötr,beyin,subakut sklerozan panensefalit,,16 yaşındaki bir hastada gece terörü olması aileyle ayrıntılı konuşmak için çok iyi bir neden.,"{""text"":""gece terörü"",""type"":""Symptom""}",16 yaşındaki bir hastada gece terörü olması aileyle ayrıntılı konuşmak için çok iyi bir neden,795
1,2,House,gece terörü,,,,soru,hipotez,0,nötr,,subakut sklerozan panensefalit,,Gece terörlerini ne zamandır yaşıyorsun?,"{""text"":""gece terörü"",""type"":""Symptom""}",gece terörlerini ne zamandır yaşıyorsun,795
1,2,Dan'ın Babası,uykusuzluk,,,,açıklama,hipotez,0,kaygı,,subakut sklerozan panensefalit,,"Uyumaktan korkuyor, tamamen tükenmiş halde ve zar zor işlev görüyor.","[{""text"":""uykusuzluk"",""type"":""Symptom""},{""text"":""yorgunluk"",""type"":""Symptom""}]",uyumaktan korkuyor tamamen tükenmiş halde ve zar zor işlev görüyor,2233
1,2,Dan'ın Babası,yorgunluk,,,,açıklama,hipotez,0,kaygı,,subakut sklerozan panensefalit,,"Uyumaktan korkuyor, tamamen tükenmiş halde ve zar zor işlev görüyor.","[{""text"":""uykusuzluk"",""type"":""Symptom""},{""text"":""yorgunluk"",""type"":""Symptom""}]",uyumaktan korkuyor tamamen tükenmiş halde ve zar zor işlev görüyor,2322
1,2,Dan,kafa travması,,,,açıklama,hipotez,0,nötr,beyin,subakut sklerozan panensefalit,,Lakros maçında başıma sert darbe aldım.,"{""text"":""kafa travması"",""type"":""Symptom""}",lakros maçında başıma sert darbe aldım,1133
1,2,House,beyin sarsıntısı,,,,hipotez,hipotez,0,nötr,beyin,subakut sklerozan panensefalit,,Acil servis yanılmış; çocukta beyin sarsıntısı var.,"{""text"":""beyin sarsıntısı"",""type"":""Disease""}",acil servis yanılmış çocukta beyin sarsıntısı var,400
1,2,Dan,diplopi,,,,açıklama,hipotez,0,nötr,göz,subakut sklerozan panensefalit,,Çifte görmem başıma darbe almadan önce başlamıştı.,"{""text"":""diplopi"",""type"":""Symptom""}",çifte görmem başıma darbe almadan önce başlamıştı,601
1,2,House,diplopi,,,,şaka,hipotez,1,alaycı,"beyin,göz",subakut sklerozan panensefalit,,"Önce diplopi, sonra darbe, sonra beyin sarsıntısı ve gece terörü; belki de sadece gözlüğe ihtiyacı vardır.","[{""text"":""diplopi"",""type"":""Symptom""},{""text"":""beyin sarsıntısı"",""type"":""Disease""},{""text"":""gece terörü"",""type"":""Symptom""}]",önce diplopi sonra darbe sonra beyin sarsıntısı ve gece terörü belki de sadece gözlüğe ihtiyacı vardır,601
1,2,House,beyin sarsıntısı,,,,şaka,hipotez,1,alaycı,"beyin,göz",subakut sklerozan panensefalit,,"Önce diplopi, sonra darbe, sonra beyin sarsıntısı ve gece terörü; belki de sadece gözlüğe ihtiyacı vardır.","[{""text"":""diplopi"",""type"":""Symptom""},{""text"":""beyin sarsıntısı"",""type"":""Disease""},{""text"":""gece terörü"",""type"":""Symptom""}]",önce diplopi sonra darbe sonra beyin sarsıntısı ve gece terörü belki de sadece gözlüğe ihtiyacı vardır,400
1,2,House,gece terörü,,,,şaka,hipotez,1,alaycı,"beyin,göz",subakut sklerozan panensefalit,,"Önce diplopi, sonra darbe, sonra beyin sarsıntısı ve gece terörü; belki de sadece gözlüğe ihtiyacı vardır.","[{""text"":""diplopi"",""type"":""Symptom""},{""text"":""beyin sarsıntısı"",""type"":""Disease""},{""text"":""gece terörü"",""type"":""Symptom""}]",önce diplopi sonra darbe sonra beyin sarsıntısı ve gece terörü belki de sadece gözlüğe ihtiyacı vardır,795
1,2,House,miyoklonik sıçrama,,,,soru,değerlendirme,0,nötr,bacak,subakut sklerozan panensefalit,,Bacağındaki o sıçramayı hissettin mi?,"{""text"":""miyoklonik sıçrama"",""type"":""Symptom""}",bacağındaki o sıçramayı hissettin mi,1578
1,2,House,miyoklonik sıçrama,,,,açıklama,değerlendirme,0,nötr,beyin,subakut sklerozan panensefalit,,Bu bir miyoklonik sıçrama; solunum yavaşlayınca beyin bedeni ölüyor sanıp onu uyandırmak için dürtü gönderir.,"[{""text"":""miyoklonik sıçrama"",""type"":""Symptom""},{""text"":""solunum"",""type"":""Anatomy""},{""text"":""beyin"",""type"":""Anatomy""}]",bu bir miyoklonik sıçrama solunum yavaşlayınca beyin bedeni ölüyor sanıp onu uyandırmak için dürtü gönderir,1578
1,2,Foreman,kas kontrol kaybı,,,,açıklama,değerlendirme,0,nötr,beyin,subakut sklerozan panensefalit,,"Beyin vücudu kontrol etmeyi kaybediyor; gözleri odaklayamıyor, uykuyu düzenleyemiyor ve kas hareketlerini kontrol edemiyor.","[{""text"":""kas kontrol kaybı"",""type"":""Symptom""},{""text"":""diplopi"",""type"":""Symptom""},{""text"":""uyku bozukluğu"",""type"":""Symptom""}]",beyin vücudu kontrol etmeyi kaybediyor gözleri odaklayamıyor uykuyu düzenleyemiyor ve kas hareketlerini kontrol edemiyor,1282
1,2,Foreman,diplopi,,,,açıklama,değerlendirme,0,nötr,beyin,subakut sklerozan panensefalit,,"Beyin vücudu kontrol etmeyi kaybediyor; gözleri odaklayamıyor, uykuyu düzenleyemiyor ve kas hareketlerini kontrol edemiyor.","[{""text"":""kas kontrol kaybı"",""type"":""Symptom""},{""text"":""diplopi"",""type"":""Symptom""},{""text"":""uyku bozukluğu"",""type"":""Symptom""}]",beyin vücudu kontrol etmeyi kaybediyor gözleri odaklayamıyor uykuyu düzenleyemiyor ve kas hareketlerini kontrol edemiyor,601
1,2,Foreman,uyku bozukluğu,,,,açıklama,değerlendirme,0,nötr,beyin,subakut sklerozan panensefalit,,"Beyin vücudu kontrol etmeyi kaybediyor; gözleri odaklayamıyor, uykuyu düzenleyemiyor ve kas hareketlerini kontrol edemiyor.","[{""text"":""kas kontrol kaybı"",""type"":""Symptom""},{""text"":""diplopi"",""type"":""Symptom""},{""text"":""uyku bozukluğu"",""type"":""Symptom""}]",beyin vücudu kontrol etmeyi kaybediyor gözleri odaklayamıyor uykuyu düzenleyemiyor ve kas hareketlerini kontrol edemiyor,2230
1,2,House,ateş,lökosit sayımı,,,açıklama,değerlendirme,0,nötr,,subakut sklerozan panensefalit,,Ateşi yok ve beyaz küre sayımı da yüksek değil.,"[{""text"":""ateş"",""type"":""Symptom""},{""text"":""lökosit sayımı"",""type"":""Test""}]",ateşi yok ve beyaz küre sayımı da yüksek değil,268
1,2,House,gece terörü,polisomnografi,,,hipotez,test,0,nötr,,subakut sklerozan panensefalit,,Gece terörleri gerçek mi görelim; ayrıntılı bir polisomnografi istiyorum.,"[{""text"":""gece terörü"",""type"":""Symptom""},{""text"":""polisomnografi"",""type"":""Test""}]",gece terörleri gerçek mi görelim ayrıntılı bir polisomnografi istiyorum,795
1,2,House,sinir hasarı,EEG,,,açıklama,test,0,nötr,"beyin,ayak parmakları",subakut sklerozan panensefalit,,EEG'de beyin aktivitesinde bozukluk var; ayak parmaklarına giden sinir yolları hasar görmüş.,"[{""text"":""EEG"",""type"":""Test""},{""text"":""sinir hasarı"",""type"":""Symptom""},{""text"":""ayak parmakları"",""type"":""Anatomy""}]",eeg de beyin aktivitesinde bozukluk var ayak parmaklarına giden sinir yolları hasar görmüş,2009
1,2,Cameron,lezyon,MR,,,açıklama,değerlendirme,0,nötr,beyin,subakut sklerozan panensefalit,,MR'da lezyon yokken multipl skleroz tanısından tam emin olamayız.,"[{""text"":""MR"",""type"":""Test""},{""text"":""lezyon"",""type"":""Symptom""},{""text"":""multipl skleroz"",""type"":""Disease""}]",mr da lezyon yokken multipl skleroz tanısından tam emin olamayız,1470
1,2,Chase,bağırsak işlev bozukluğu,,,,açıklama,değerlendirme,0,empati,,subakut sklerozan panensefalit,,"Hastalık ilerlerse bağırsak ve mesane sorunları, bilişsel işlev kaybı ve ağrı gelişebilir.","[{""text"":""bağırsak işlev bozukluğu"",""type"":""Symptom""},{""text"":""mesane işlev bozukluğu"",""type"":""Symptom""},{""text"":""bilişsel işlev kaybı"",""type"":""Symptom""},{""text"":""ağrı"",""type"":""Symptom""}]",hastalık ilerlerse bağırsak ve mesane sorunları bilişsel işlev kaybı ve ağrı gelişebilir,345
1,2,Chase,mesane işlev bozukluğu,,,,açıklama,değerlendirme,0,empati,,subakut sklerozan panensefalit,,"Hastalık ilerlerse bağırsak ve mesane sorunları, bilişsel işlev kaybı ve ağrı gelişebilir.","[{""text"":""bağırsak işlev bozukluğu"",""type"":""Symptom""},{""text"":""mesane işlev bozukluğu"",""type"":""Symptom""},{""text"":""bilişsel işlev kaybı"",""type"":""Symptom""},{""text"":""ağrı"",""type"":""Symptom""}]",hastalık ilerlerse bağırsak ve mesane sorunları bilişsel işlev kaybı ve ağrı gelişebilir,1534
1,2,Chase,bilişsel kayıp,,,,açıklama,değerlendirme,0,empati,,subakut sklerozan panensefalit,,"Hastalık ilerlerse bağırsak ve mesane sorunları, bilişsel işlev kaybı ve ağrı gelişebilir.","[{""text"":""bağırsak işlev bozukluğu"",""type"":""Symptom""},{""text"":""mesane işlev bozukluğu"",""type"":""Symptom""},{""text"":""bilişsel işlev kaybı"",""type"":""Symptom""},{""text"":""ağrı"",""type"":""Symptom""}]",hastalık ilerlerse bağırsak ve mesane sorunları bilişsel işlev kaybı ve ağrı gelişebilir,414
1,2,Chase,ağrı,,,,açıklama,değerlendirme,0,empati,,subakut sklerozan panensefalit,,"Hastalık ilerlerse bağırsak ve mesane sorunları, bilişsel işlev kaybı ve ağrı gelişebilir.","[{""text"":""bağırsak işlev bozukluğu"",""type"":""Symptom""},{""text"":""mesane işlev bozukluğu"",""type"":""Symptom""},{""text"":""bilişsel işlev kaybı"",""type"":""Symptom""},{""text"":""ağrı"",""type"":""Symptom""}]",hastalık ilerlerse bağırsak ve mesane sorunları bilişsel işlev kaybı ve ağrı gelişebilir,288
1,2,House,akut konfüzyon,,,,açıklama,değerlendirme,0,nötr,beyin,subakut sklerozan panensefalit,,Akut konfüzyon tablosu MS gibi demiyelinizan bir hastalıkla uyuşmuyor.,"[{""text"":""akut konfüzyon"",""type"":""Symptom""},{""text"":""MS"",""type"":""Disease""}]",akut konfüzyon tablosu ms gibi demiyelinizan bir hastalıkla uyuşmuyor,77
1,2,Foreman,beyin sapı herniasyonu,,penisilin,,açıklama,değerlendirme,0,kaygı,"beyin,beyin sapı",subakut sklerozan panensefalit,,"Beyin gibi dar bir alana yüksek hacimde penisilin verirsek kafa içi basınç artar, beyin sapı herniasyonu gelişip hasta ölebilir.","[{""text"":""penisilin"",""type"":""Drug""},{""text"":""kafa içi basınç artışı"",""type"":""Symptom""},{""text"":""beyin sapı herniasyonu"",""type"":""Disease""}]",beyin gibi dar bir alana yüksek hacimde penisilin verirsek kafa içi basınç artar beyin sapı herniasyonu gelişip hasta ölebilir,397
1,2,Cameron,işitsel halüsinasyon,,,,açıklama,değerlendirme,0,kaygı,beyin,subakut sklerozan panensefalit,,İşitsel halüsinasyonlar beynin daha da bozulduğunu gösteriyor.,"[{""text"":""işitsel halüsinasyon"",""type"":""Symptom""},{""text"":""beyin dejenerasyonu"",""type"":""Disease""}]",i şitsel halüsinasyonlar beynin daha da bozulduğunu gösteriyor,1115
1,2,Foreman,ateş,lökosit sayımı,,,açıklama,değerlendirme,0,nötr,,subakut sklerozan panensefalit,,Enfeksiyon ihtimali var ama ateş yok; beyaz küre sayısı da ancak sınırda yüksek.,"[{""text"":""enfeksiyon"",""type"":""Disease""},{""text"":""ateş"",""type"":""Symptom""},{""text"":""lökosit sayımı"",""type"":""Test""}]",enfeksiyon ihtimali var ama ateş yok beyaz küre sayısı da ancak sınırda yüksek,268
1,2,House,halüsinasyon,"EEG,EOG",,,hipotez,test,0,nötr,beyin,subakut sklerozan panensefalit,,"Hasta sesler duyuyor; EEG, sağ-sol EOG ve diğer kayıtlarla beynin ne yaptığını dinleyelim.","[{""text"":""halüsinasyon"",""type"":""Symptom""},{""text"":""EEG"",""type"":""Test""},{""text"":""EOG"",""type"":""Test""}]",hasta sesler duyuyor eeg sağ sol eog ve diğer kayıtlarla beynin ne yaptığını dinleyelim,901
1,2,House,halüsinasyon,"EKG,karaciğer fonksiyon testleri",,,açıklama,değerlendirme,0,nötr,"beyin,kalp,karaciğer",subakut sklerozan panensefalit,,"Şant açık ve yerinde, EKG'de QRS normal ama derin T dalga inversiyonları var; karaciğer testleri yüksek ve hasta sesler duyuyor.","[{""text"":""şant"",""type"":""Procedure""},{""text"":""EKG"",""type"":""Test""},{""text"":""karaciğer fonksiyon testleri"",""type"":""Test""},{""text"":""halüsinasyon"",""type"":""Symptom""}]",şant açık ve yerinde ekg de qrs normal ama derin t dalga inversiyonları var karaciğer testleri yüksek ve hasta sesler duyuyor,901
1,2,House,döküntü,,,,açıklama,hipotez,0,nötr,,subakut sklerozan panensefalit,,Sıradan kızamık bebekte döküntü ve yüksek ateş yapar; ama çok nadir durumlarda virüs mutasyona uğrar.,"[{""text"":""kızamık"",""type"":""Disease""},{""text"":""döküntü"",""type"":""Symptom""},{""text"":""ateş"",""type"":""Symptom""}]",sıradan kızamık bebekte döküntü ve yüksek ateş yapar ama çok nadir durumlarda virüs mutasyona uğrar,643
1,2,House,ateş,,,,açıklama,hipotez,0,nötr,,subakut sklerozan panensefalit,,Sıradan kızamık bebekte döküntü ve yüksek ateş yapar; ama çok nadir durumlarda virüs mutasyona uğrar.,"[{""text"":""kızamık"",""type"":""Disease""},{""text"":""döküntü"",""type"":""Symptom""},{""text"":""ateş"",""type"":""Symptom""}]",sıradan kızamık bebekte döküntü ve yüksek ateş yapar ama çok nadir durumlarda virüs mutasyona uğrar,268
1,3,Brandon,öksürük,,,,açıklama,hipotez,0,nötr,,kolşisin zehirlenmesi,,"Gece kötü uyudum; boğazım tahriş oldu, öksürüyorum, midem bozuk ve sanırım ateşim var.","[{""text"":""öksürük"",""type"":""Symptom""},{""text"":""boğaz ağrısı"",""type"":""Symptom""},{""text"":""mide rahatsızlığı"",""type"":""Symptom""},{""text"":""ateş"",""type"":""Symptom""}]",gece kötü uyudum boğazım tahriş oldu öksürüyorum midem bozuk ve sanırım ateşim var,2400
1,3,Brandon,boğaz ağrısı,,,,açıklama,hipotez,0,nötr,,kolşisin zehirlenmesi,,"Gece kötü uyudum; boğazım tahriş oldu, öksürüyorum, midem bozuk ve sanırım ateşim var.","[{""text"":""öksürük"",""type"":""Symptom""},{""text"":""boğaz ağrısı"",""type"":""Symptom""},{""text"":""mide rahatsızlığı"",""type"":""Symptom""},{""text"":""ateş"",""type"":""Symptom""}]",gece kötü uyudum boğazım tahriş oldu öksürüyorum midem bozuk ve sanırım ateşim var,435
1,3,Brandon,mide rahatsızlığı,,,,açıklama,hipotez,0,nötr,,kolşisin zehirlenmesi,,"Gece kötü uyudum; boğazım tahriş oldu, öksürüyorum, midem bozuk ve sanırım ateşim var.","[{""text"":""öksürük"",""type"":""Symptom""},{""text"":""boğaz ağrısı"",""type"":""Symptom""},{""text"":""mide rahatsızlığı"",""type"":""Symptom""},{""text"":""ateş"",""type"":""Symptom""}]",gece kötü uyudum boğazım tahriş oldu öksürüyorum midem bozuk ve sanırım ateşim var,1555
